,date,rank,songs,artist
354,1994,55,So What,Field Mob Featuring Ciara
355,1994,56,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ
356,1994,57,Black Horse & The Cherry Tree,KT Tunstall
357,1994,58,There It Go! (The Whistle Song),Juelz Santana
358,1994,59,Shoulder Lean,Young Dro Featuring T.I.
359,1994,60,Unpredictable,Jamie Foxx Featuring Ludacris
360,1994,61,My Love,Justin Timberlake Featuring T.I.
361,1994,62,Shake That,Eminem Featuring Nate Dogg
362,1994,63,Pullin' Me Back,Chingy Featuring Tyrese
363,1994,64,Bossy,Kelis Featuring Too $hort
364,1994,65,Chain Hang Low,Jibbs
365,1994,66,Smack That,Akon Featuring Eminem
366,1994,67,One Wish,Ray J
367,1994,68,"Sugar, We're Goin' Down",Fall Out Boy
368,1994,69,Gimme That,Chris Brown Featuring Lil Wayne
369,1994,70,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick
370,1994,71,Who Says You Can't Go Home,Bon Jovi
371,1994,72,Too Little Too Late,JoJo
372,1994,73,Touch It,Busta Rhymes
373,1994,74,Rompe,Daddy Yankee
374,1994,75,Deja Vu,Beyonce Featuring Jay Z
375,1994,76,Life Is A Highway,Rascal Flatts
376,1994,77,Call Me When You're Sober,Evanescence
377,1994,78,"Jesus, Take The Wheel",Carrie Underwood
378,1994,79,Show Stopper,Danity Kane
379,1994,80,Get Up,Ciara Featuring Chamillionaire
380,1994,81,We Be Burnin',Sean Paul
381,1994,82,Hate Me,Blue October
382,1994,83,You And Me,Lifehouse
383,1994,84,Beep,The Pussycat Dolls Featuring will.i.am
384,1994,85,I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow"
385,1994,86,Say Goodbye,Chris Brown
386,1994,87,Waiting On The World To Change,John Mayer
387,1994,88,Soul Survivor,Young Jeezy Featuring Akon
388,1994,89,Pump It,The Black Eyed Peas
389,1994,90,When I'm Gone,Eminem
390,1994,91,Hung Up,Madonna
391,1994,92,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG
392,1994,93,Love,Keyshia Cole
393,1994,94,When You're Mad,Ne-Yo
394,1994,95,Why You Wanna,T.I.
395,1994,96,Stupid Girls,P!nk
396,1994,97,Feel Good Inc,Gorillaz
397,1994,98,I'm Sprung,T-Pain
398,1994,99,Do I Make You Proud,Taylor Hicks
399,1994,100,For You I Will (Confidence),Teddy Geiger
