date,artist,songs,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1970,The Moments,"""Love on a Two-Way Street""",2gImbBWvXQWQ9ZDSQUWvNI,0.472,0.339,2.0,-10.969,1.0,0.0392,0.61,0.0,0.289,0.242,141.357,audio_features,2gImbBWvXQWQ9ZDSQUWvNI,spotify:track:2gImbBWvXQWQ9ZDSQUWvNI,https://api.spotify.com/v1/tracks/2gImbBWvXQWQ9ZDSQUWvNI,https://api.spotify.com/v1/audio-analysis/2gImbBWvXQWQ9ZDSQUWvNI,217067.0,4.0
1970,The Carpenters,"""(They Long to Be) Close to You""",5JgDMH2jLvHzdNSr5Yzvj4,0.466,0.331,8.0,-14.734,1.0,0.0359,0.623,0.842,0.257,0.356,95.208,audio_features,5JgDMH2jLvHzdNSr5Yzvj4,spotify:track:5JgDMH2jLvHzdNSr5Yzvj4,https://api.spotify.com/v1/tracks/5JgDMH2jLvHzdNSr5Yzvj4,https://api.spotify.com/v1/audio-analysis/5JgDMH2jLvHzdNSr5Yzvj4,210120.0,4.0
1970,Anne Murray,"""Snowbird""",2ik5qJAcmrjbpON5QPxmRr,0.531,0.48,9.0,-10.633,1.0,0.0366,0.256,0.000136,0.0908,0.881,104.117,audio_features,2ik5qJAcmrjbpON5QPxmRr,spotify:track:2ik5qJAcmrjbpON5QPxmRr,https://api.spotify.com/v1/tracks/2ik5qJAcmrjbpON5QPxmRr,https://api.spotify.com/v1/audio-analysis/2ik5qJAcmrjbpON5QPxmRr,134227.0,4.0
1970,Brook Benton,"""Rainy Night in Georgia""",2zbV4xRYLuElz4PWOXI5P7,0.301,0.309,4.0,-19.155,0.0,0.042,0.524,0.0758,0.129,0.384,75.165,audio_features,2zbV4xRYLuElz4PWOXI5P7,spotify:track:2zbV4xRYLuElz4PWOXI5P7,https://api.spotify.com/v1/tracks/2zbV4xRYLuElz4PWOXI5P7,https://api.spotify.com/v1/audio-analysis/2zbV4xRYLuElz4PWOXI5P7,233573.0,4.0
1970,Free,"""All Right Now""",1gcESexgftSuLuML57Y69q,0.787,0.472,2.0,-12.824,1.0,0.0832,0.221,0.000336,0.153,0.824,120.059,audio_features,1gcESexgftSuLuML57Y69q,spotify:track:1gcESexgftSuLuML57Y69q,https://api.spotify.com/v1/tracks/1gcESexgftSuLuML57Y69q,https://api.spotify.com/v1/audio-analysis/1gcESexgftSuLuML57Y69q,330643.0,4.0
1970,The Jackson 5,"""I Want You Back""",5LxvwujISqiB8vpRYv887S,0.469,0.538,8.0,-13.559,1.0,0.0571,0.305,0.00012,0.37,0.886,196.605,audio_features,5LxvwujISqiB8vpRYv887S,spotify:track:5LxvwujISqiB8vpRYv887S,https://api.spotify.com/v1/tracks/5LxvwujISqiB8vpRYv887S,https://api.spotify.com/v1/audio-analysis/5LxvwujISqiB8vpRYv887S,176333.0,4.0
1970,Bobby Sherman,"""Julie, Do Ya Love Me""",41Al942aUUeiSFlIsiWRa2,0.425,0.41,9.0,-15.881,1.0,0.0341,0.507,2.18e-06,0.3,0.664,82.177,audio_features,41Al942aUUeiSFlIsiWRa2,spotify:track:41Al942aUUeiSFlIsiWRa2,https://api.spotify.com/v1/tracks/41Al942aUUeiSFlIsiWRa2,https://api.spotify.com/v1/audio-analysis/41Al942aUUeiSFlIsiWRa2,172838.0,4.0
1970,Sugarloaf,"""Green-Eyed Lady""",7s2orxqJ8qE0aG3Ngvct3C,0.564,0.523,7.0,-12.908,1.0,0.122,0.178,0.0303,0.0624,0.89,149.304,audio_features,7s2orxqJ8qE0aG3Ngvct3C,spotify:track:7s2orxqJ8qE0aG3Ngvct3C,https://api.spotify.com/v1/tracks/7s2orxqJ8qE0aG3Ngvct3C,https://api.spotify.com/v1/audio-analysis/7s2orxqJ8qE0aG3Ngvct3C,219760.0,4.0
1970,Blues Image,"""Ride Captain Ride""",1d9hUvkv64Wmdu671Dydpc,0.547,0.655,2.0,-11.707,1.0,0.0414,0.136,0.00737,0.116,0.649,125.545,audio_features,1d9hUvkv64Wmdu671Dydpc,spotify:track:1d9hUvkv64Wmdu671Dydpc,https://api.spotify.com/v1/tracks/1d9hUvkv64Wmdu671Dydpc,https://api.spotify.com/v1/audio-analysis/1d9hUvkv64Wmdu671Dydpc,225560.0,4.0
1970,Shocking Blue,"""Venus""",0Z3xhSOhrawLV81YdiDiiJ,0.691,0.762,11.0,-6.47,0.0,0.0367,0.462,0.0286,0.0804,0.957,128.111,audio_features,0Z3xhSOhrawLV81YdiDiiJ,spotify:track:0Z3xhSOhrawLV81YdiDiiJ,https://api.spotify.com/v1/tracks/0Z3xhSOhrawLV81YdiDiiJ,https://api.spotify.com/v1/audio-analysis/0Z3xhSOhrawLV81YdiDiiJ,187533.0,4.0
1970,John Lennon,"""Instant Karma!""",2BkXpZSvPoUDMLI2Xw9kAL,0.628,0.931,9.0,-9.973,1.0,0.0968,0.000689,0.00146,0.0997,0.144,119.976,audio_features,2BkXpZSvPoUDMLI2Xw9kAL,spotify:track:2BkXpZSvPoUDMLI2Xw9kAL,https://api.spotify.com/v1/tracks/2BkXpZSvPoUDMLI2Xw9kAL,https://api.spotify.com/v1/audio-analysis/2BkXpZSvPoUDMLI2Xw9kAL,200653.0,4.0
1970,Clarence Carter,"""Patches""",5vk9PL1tTyWrQY3TqRq2Rg,0.639,0.544,4.0,-12.843,1.0,0.141,0.617,0.0,0.479,0.793,80.844,audio_features,5vk9PL1tTyWrQY3TqRq2Rg,spotify:track:5vk9PL1tTyWrQY3TqRq2Rg,https://api.spotify.com/v1/tracks/5vk9PL1tTyWrQY3TqRq2Rg,https://api.spotify.com/v1/audio-analysis/5vk9PL1tTyWrQY3TqRq2Rg,193827.0,4.0
1970,Simon & Garfunkel,"""Cecilia""",6QhXQOpyYvbpdbyjgAqKdY,0.755,0.876,0.0,-8.867,1.0,0.0362,0.357,5.17e-06,0.22,0.954,102.762,audio_features,6QhXQOpyYvbpdbyjgAqKdY,spotify:track:6QhXQOpyYvbpdbyjgAqKdY,https://api.spotify.com/v1/tracks/6QhXQOpyYvbpdbyjgAqKdY,https://api.spotify.com/v1/audio-analysis/6QhXQOpyYvbpdbyjgAqKdY,174827.0,4.0
1970,Creedence Clearwater Revival,"""Lookin' out My Back Door""",3RTUfvRgq3pYTf7XY0FIcS,0.745,0.656,10.0,-6.393,1.0,0.0405,0.188,0.00337,0.0941,0.858,105.318,audio_features,3RTUfvRgq3pYTf7XY0FIcS,spotify:track:3RTUfvRgq3pYTf7XY0FIcS,https://api.spotify.com/v1/tracks/3RTUfvRgq3pYTf7XY0FIcS,https://api.spotify.com/v1/audio-analysis/3RTUfvRgq3pYTf7XY0FIcS,152453.0,4.0
1970,Kenny Rogers & The First Edition,"""Something's Burning""",4m9zF5OiikfhWTjcXTHAJx,0.425,0.34,9.0,-14.913,1.0,0.0338,0.352,0.000824,0.0696,0.418,89.802,audio_features,4m9zF5OiikfhWTjcXTHAJx,spotify:track:4m9zF5OiikfhWTjcXTHAJx,https://api.spotify.com/v1/tracks/4m9zF5OiikfhWTjcXTHAJx,https://api.spotify.com/v1/audio-analysis/4m9zF5OiikfhWTjcXTHAJx,242093.0,4.0
